season,team_id,team_slug,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,general,RPG,avgRebounds,Rebounds Per Game,The average rebounds per game.,25.6,25.647058
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,general,AST/TO,assistTurnoverRatio,Assist To Turnover Ratio,The average number of assists a player or team records per turnover,0.9,0.9445676
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,general,PFPG,avgFouls,Fouls Per Game,The average fouls committed per game.,19.1,19.058823
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,general,GP,gamesPlayed,Games Played,Games Played,34,34.0
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,general,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0.0
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,general,MPG,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0.0
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,general,REB,totalRebounds,Rebounds,The total number of rebounds for a team or player,872,872.0
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,general,REB,rebounds,Rebounds,The total number of rebounds (offensive and defensive).,872,872.0
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,offensive,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,73.9,73.898
2004,1,,CHA,Charlotte Sting,,,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,offensive,3P%,threePointPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,36.2,36.166
