id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,away_color,away_alternate_color,away_logo,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
240703005,s:40~l:59~e:240703005~c:240703005,2004-07-04T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-07-04T00:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,61,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,60,FALSE,240703005,2004,2,,"","","",,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,TRUE,2004-07-04T00:00:00Z,2004-07-03,TRUE,TRUE
240703008,s:40~l:59~e:240703008~c:240703008,2004-07-04T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-07-04T00:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,78,TRUE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,1911,70,FALSE,240703008,2004,2,2029,Target Center,Minneapolis,MN,19006,FALSE,11213e,c5d646,"",,TRUE,2004-07-04T00:00:00Z,2004-07-03,TRUE,TRUE
240702006,s:40~l:59~e:240702006~c:240702006,2004-07-03T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2004-07-03T02:30Z,"","",1,STD,0,0,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,87,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,780,80,FALSE,240702006,2004,2,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,000000,c7cfd4,"",,TRUE,2004-07-03T02:30:00Z,2004-07-02,TRUE,TRUE
240701013,s:40~l:59~e:240701013~c:240701013,2004-07-02T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-07-02T02:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,73,TRUE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,47,FALSE,240701013,2004,2,,"","","",,,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,,TRUE,2004-07-02T02:00:00Z,2004-07-01,TRUE,TRUE
240701014,s:40~l:59~e:240701014~c:240701014,2004-07-02T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-07-02T02:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,76,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,780,52,FALSE,240701014,2004,2,2184,KeyArena,Seattle,WA,17459,TRUE,000000,c7cfd4,"",,TRUE,2004-07-02T02:00:00Z,2004-07-01,TRUE,TRUE
240701016,s:40~l:59~e:240701016~c:240701016,2004-07-02T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-07-02T00:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,69,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,,64,FALSE,240701016,2004,2,1823,Capital One Arena,Washington,DC,20362,TRUE,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,TRUE,2004-07-02T00:00:00Z,2004-07-01,TRUE,TRUE
240701001,s:40~l:59~e:240701001~c:240701001,2004-07-01T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-07-01T23:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,59,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,71,TRUE,240701001,2004,2,,"","","",,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,TRUE,2004-07-01T23:00:00Z,2004-07-01,TRUE,TRUE
240630008,s:40~l:59~e:240630008~c:240630008,2004-07-01T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-07-01T00:00Z,"","",1,STD,0,0,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,58,TRUE,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,,50,FALSE,240630008,2004,2,2029,Target Center,Minneapolis,MN,19006,FALSE,"","",https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,,TRUE,2004-07-01T00:00:00Z,2004-06-30,TRUE,TRUE
240630018,s:40~l:59~e:240630018~c:240630018,2004-06-30T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-06-30T23:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,78,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,1823,69,FALSE,240630018,2004,2,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,e03a3e,09295a,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,,TRUE,2004-06-30T23:00:00Z,2004-06-30,TRUE,TRUE
240629006,s:40~l:59~e:240629006~c:240629006,2004-06-30T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2004-06-30T02:30Z,"","",1,STD,0,0,3,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,69,TRUE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,1826,65,FALSE,240629006,2004,2,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0d79b9,89c9bf,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,,TRUE,2004-06-30T02:30:00Z,2004-06-29,TRUE,TRUE
240629017,s:40~l:59~e:240629017~c:240629017,2004-06-30T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-06-30T00:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",65,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,77,TRUE,240629017,2004,2,780,AT&T Center,San Antonio,TX,18500,FALSE,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,TRUE,2004-06-30T00:00:00Z,2004-06-29,FALSE,FALSE
240629003,s:40~l:59~e:240629003~c:240629003,2004-06-29T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2004-06-29T23:30Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",68,FALSE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,,69,TRUE,240629003,2004,2,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,e2382f,08265b,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,TRUE,2004-06-29T23:30:00Z,2004-06-29,TRUE,TRUE
240627013,s:40~l:59~e:240627013~c:240627013,2004-06-28T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-06-28T02:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,63,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,1949,57,FALSE,240627013,2004,2,,"","","",,,3a267d,e56020,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,,TRUE,2004-06-28T02:00:00Z,2004-06-27,TRUE,TRUE
240627003,s:40~l:59~e:240627003~c:240627003,2004-06-27T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-06-27T22:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",72,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,2160,74,TRUE,240627003,2004,2,3419,The Palace of Auburn Hills,Detroit,MI,22076,FALSE,de6b36,002d62,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,,TRUE,2004-06-27T22:00:00Z,2004-06-27,TRUE,TRUE
240627008,s:40~l:59~e:240627008~c:240627008,2004-06-27T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2004-06-27T22:00Z,"","",1,STD,0,0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,67,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,1841,83,TRUE,240627008,2004,2,2029,Target Center,Minneapolis,MN,19006,FALSE,532481,49ac9c,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,,TRUE,2004-06-27T22:00:00Z,2004-06-27,TRUE,TRUE
