id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,home_logo,away_logo,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
400539517,s:40~l:59~e:400539517~c:400539517,2014-06-14T00:00Z,5012,TRUE,FALSE,FALSE,FALSE,2014-06-14T00:00Z,"","",1,STD,780,AT&T Center,San Antonio,TX,18500,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,780,72,FALSE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,79,TRUE,400539517,2014,2,"",https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,"",TRUE,2014-06-14T00:00:00Z,2014-06-13,TRUE,TRUE
400539518,s:40~l:59~e:400539518~c:400539518,2014-06-14T00:00Z,5058,TRUE,FALSE,FALSE,FALSE,2014-06-14T00:00Z,"","",1,STD,1911,BOK Center,Tulsa,OK,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,FALSE,1911,69,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,67,FALSE,400539518,2014,2,"",https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",TRUE,2014-06-14T00:00:00Z,2014-06-13,TRUE,TRUE
400539515,s:40~l:59~e:400539515~c:400539515,2014-06-13T23:30Z,6684,TRUE,FALSE,FALSE,FALSE,2014-06-13T23:30Z,"","",1,STD,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,85,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,82,FALSE,400539515,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2014-06-13T23:30:00Z,2014-06-13,TRUE,TRUE
400539516,s:40~l:59~e:400539516~c:400539516,2014-06-13T23:30Z,7911,TRUE,FALSE,FALSE,FALSE,2014-06-13T23:30Z,"","",1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,75,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,83,TRUE,400539516,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,"",TRUE,2014-06-13T23:30:00Z,2014-06-13,TRUE,TRUE
400539514,s:40~l:59~e:400539514~c:400539514,2014-06-13T23:00Z,7198,TRUE,FALSE,FALSE,FALSE,2014-06-13T23:00Z,"","",1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,79,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,68,FALSE,400539514,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2014-06-13T23:00:00Z,2014-06-13,TRUE,TRUE
400539513,s:40~l:59~e:400539513~c:400539513,2014-06-12T23:00Z,5760,TRUE,FALSE,FALSE,FALSE,2014-06-12T23:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,96,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,95,FALSE,400539513,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",TRUE,2014-06-12T23:00:00Z,2014-06-12,TRUE,TRUE
400539512,s:40~l:59~e:400539512~c:400539512,2014-06-11T23:00Z,7925,TRUE,FALSE,FALSE,FALSE,2014-06-11T23:00Z,"","",1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,76,TRUE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,68,FALSE,400539512,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,"",TRUE,2014-06-11T23:00:00Z,2014-06-11,TRUE,TRUE
400539511,s:40~l:59~e:400539511~c:400539511,2014-06-11T00:00Z,3958,TRUE,FALSE,FALSE,FALSE,2014-06-11T00:00Z,"","",1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,76,FALSE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,80,TRUE,400539511,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,"",TRUE,2014-06-11T00:00:00Z,2014-06-10,TRUE,TRUE
400539510,s:40~l:59~e:400539510~c:400539510,2014-06-10T23:00Z,7281,TRUE,FALSE,FALSE,FALSE,2014-06-10T23:00Z,"","",1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,66,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,81,TRUE,400539510,2014,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",TRUE,2014-06-10T23:00:00Z,2014-06-10,TRUE,TRUE
400539509,s:40~l:59~e:400539509~c:400539509,2014-06-10T16:30Z,4542,TRUE,FALSE,FALSE,FALSE,2014-06-10T16:30Z,"","",1,STD,1911,BOK Center,Tulsa,OK,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,FALSE,1911,72,TRUE,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,57,FALSE,400539509,2014,2,"",https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,"",TRUE,2014-06-10T16:30:00Z,2014-06-10,TRUE,TRUE
