id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_score,away_winner,game_id,season,season_type,away_logo,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
320907009,s:40~l:59~e:320907009~c:320907009,2012-09-07T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-07T23:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,83,FALSE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,92,TRUE,320907009,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,,"","","",,,"",TRUE,2012-09-07T23:30:00Z,2012-09-07,TRUE,TRUE
320907016,s:40~l:59~e:320907016~c:320907016,2012-09-07T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-07T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,68,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,96,TRUE,320907016,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,,"","","",,,"",TRUE,2012-09-07T23:00:00Z,2012-09-07,TRUE,TRUE
320907018,s:40~l:59~e:320907018~c:320907018,2012-09-07T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-07T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,82,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,91,TRUE,320907018,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",TRUE,2012-09-07T23:00:00Z,2012-09-07,TRUE,TRUE
320906014,s:40~l:59~e:320906014~c:320906014,2012-09-07T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-07T02:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,101,TRUE,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,FALSE,1911,74,FALSE,320906014,2012,2,"",2184,KeyArena,Seattle,WA,17459,TRUE,"",TRUE,2012-09-07T02:00:00Z,2012-09-06,TRUE,TRUE
320905009,s:40~l:59~e:320905009~c:320905009,2012-09-05T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-05T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,87,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,59,FALSE,320905009,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,,"","","",,,"",TRUE,2012-09-05T23:00:00Z,2012-09-05,TRUE,TRUE
320905020,s:40~l:59~e:320905020~c:320905020,2012-09-05T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-05T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,71,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,64,FALSE,320905020,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,,"","","",,,"",TRUE,2012-09-05T23:00:00Z,2012-09-05,TRUE,TRUE
320904008,s:40~l:59~e:320904008~c:320904008,2012-09-05T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-05T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,88,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,77,FALSE,320904008,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,2029,Target Center,Minneapolis,MN,19006,FALSE,"",TRUE,2012-09-05T00:00:00Z,2012-09-04,TRUE,TRUE
320904016,s:40~l:59~e:320904016~c:320904016,2012-09-04T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-04T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,70,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,77,TRUE,320904016,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,,"","","",,,"",TRUE,2012-09-04T23:00:00Z,2012-09-04,TRUE,TRUE
320902019,s:40~l:59~e:320902019~c:320902019,2012-09-02T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-02T22:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,85,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,74,FALSE,320902019,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,,"","","",,,"",TRUE,2012-09-02T22:00:00Z,2012-09-02,TRUE,TRUE
320902020,s:40~l:59~e:320902020~c:320902020,2012-09-02T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2012-09-02T19:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,87,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,80,FALSE,320902020,2012,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,,"","","",,,"",TRUE,2012-09-02T19:00:00Z,2012-09-02,TRUE,TRUE
