id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,home_logo,status_type_alt_detail,game_date_time,game_date,PBP,team_box,player_box
400927466,s:40~l:59~e:400927466~c:400927466,2017-06-25T22:00Z,5344,TRUE,FALSE,FALSE,FALSE,2017-06-25T22:00Z,"","",1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,63,FALSE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,97,TRUE,400927466,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",2017-06-25T22:00:00Z,2017-06-25,TRUE,TRUE,TRUE
400927465,s:40~l:59~e:400927465~c:400927465,2017-06-25T20:30Z,3408,TRUE,FALSE,FALSE,FALSE,2017-06-25T20:30Z,"","",1,STD,3416,College Park Center,Arlington,TX,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,96,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,82,FALSE,400927465,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,"",2017-06-25T20:30:00Z,2017-06-25,TRUE,TRUE,TRUE
400927464,s:40~l:59~e:400927464~c:400927464,2017-06-24T23:00Z,9241,TRUE,FALSE,FALSE,FALSE,2017-06-24T23:00Z,"","",1,STD,2183,Gainbridge Fieldhouse,Indianapolis,IN,17923,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,2183,73,FALSE,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,84,TRUE,400927464,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,"",2017-06-24T23:00:00Z,2017-06-24,TRUE,TRUE,TRUE
400927463,s:40~l:59~e:400927463~c:400927463,2017-06-24T02:00Z,7796,TRUE,FALSE,FALSE,FALSE,2017-06-24T02:00Z,"","",1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,82,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,85,TRUE,400927463,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,"",2017-06-24T02:00:00Z,2017-06-23,TRUE,TRUE,TRUE
400927461,s:40~l:59~e:400927461~c:400927461,2017-06-24T00:00Z,9723,TRUE,FALSE,FALSE,FALSE,2017-06-24T00:00Z,"","",1,STD,1835,Xcel Energy Center,Saint Paul,MN,17954,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,1835,93,TRUE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,76,FALSE,400927461,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",2017-06-24T00:00:00Z,2017-06-23,TRUE,TRUE,TRUE
400927462,s:40~l:59~e:400927462~c:400927462,2017-06-24T00:00Z,7086,TRUE,FALSE,FALSE,FALSE,2017-06-24T00:00Z,"","",1,STD,780,AT&T Center,San Antonio,TX,18500,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,780,69,FALSE,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,81,TRUE,400927462,2017,2,"","",2017-06-24T00:00:00Z,2017-06-23,TRUE,TRUE,TRUE
400927459,s:40~l:59~e:400927459~c:400927459,2017-06-23T23:30Z,10240,TRUE,FALSE,FALSE,FALSE,2017-06-23T23:30Z,"","",1,STD,1830,Madison Square Garden,New York,NY,19763,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1830,89,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,94,TRUE,400927459,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,"",2017-06-23T23:30:00Z,2017-06-23,TRUE,TRUE,TRUE
400927460,s:40~l:59~e:400927460~c:400927460,2017-06-23T23:30Z,4237,TRUE,FALSE,FALSE,FALSE,2017-06-23T23:30Z,"","",1,STD,2206,McCamish Pavilion,Atlanta,GA,8900,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,2206,78,FALSE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,977,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,82,TRUE,400927460,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,"",2017-06-23T23:30:00Z,2017-06-23,TRUE,TRUE,TRUE
400927458,s:40~l:59~e:400927458~c:400927458,2017-06-21T17:00Z,4617,TRUE,FALSE,FALSE,FALSE,2017-06-21T17:00Z,"","",1,STD,3416,College Park Center,Arlington,TX,0,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,3,s:40~l:59~t:3,Dallas,Wings,DAL,Dallas Wings,Wings,11213e,c5d646,TRUE,3416,81,TRUE,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,780,"",78,FALSE,400927458,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/dal.png,"",2017-06-21T17:00:00Z,2017-06-21,TRUE,TRUE,TRUE
400927457,s:40~l:59~e:400927457~c:400927457,2017-06-18T23:00Z,9686,TRUE,FALSE,FALSE,FALSE,2017-06-18T23:00Z,"","",1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,75,TRUE,17,s:40~l:59~t:17,San Antonio,Stars,SA,San Antonio Stars,Stars,000000,c7cfd4,FALSE,780,"",57,FALSE,400927457,2017,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,"",2017-06-18T23:00:00Z,2017-06-18,TRUE,TRUE,TRUE
