id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_is_active,away_logo,away_score,away_winner,game_id,season,season_type,away_color,away_alternate_color,away_venue_id,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_type_alt_detail,game_date_time,game_date,PBP,team_box,player_box
260730009,s:40~l:59~e:260730009~c:260730009,2006-07-30T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-30T20:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,78,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,69,FALSE,260730009,2006,2,005084,47a757,2029,0d79b9,89c9bf,1826,1830,Madison Square Garden,New York,NY,19763,FALSE,"",2006-07-30T20:00:00Z,2006-07-30,TRUE,TRUE,TRUE
260730018,s:40~l:59~e:260730018~c:260730018,2006-07-30T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-30T20:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,72,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",65,FALSE,260730018,2006,2,000000,c7cfd4,780,de6b36,002d62,2160,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",2006-07-30T20:00:00Z,2006-07-30,TRUE,TRUE,TRUE
260729005,s:40~l:59~e:260729005~c:260729005,2006-07-29T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-29T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,67,FALSE,16,s:40~l:59~t:16,Washington,Mystics,WAS,Washington Mystics,Mystics,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/was.png,74,TRUE,260729005,2006,2,e03a3e,09295a,1823,e2382f,08265b,,,"","","",,,"",2006-07-29T23:00:00Z,2006-07-29,TRUE,TRUE,TRUE
260729001,s:40~l:59~e:260729001~c:260729001,2006-07-29T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-29T22:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,80,FALSE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,85,TRUE,260729001,2006,2,0d79b9,89c9bf,1826,"","",,,"","","",,,"",2006-07-29T22:00:00Z,2006-07-29,TRUE,TRUE,TRUE
260728014,s:40~l:59~e:260728014~c:260728014,2006-07-29T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-29T02:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,67,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",77,TRUE,260728014,2006,2,11213e,c5d646,1911,05452a,f7c43c,2184,2184,KeyArena,Seattle,WA,17459,TRUE,"",2006-07-29T02:00:00Z,2006-07-28,TRUE,TRUE,TRUE
260728019,s:40~l:59~e:260728019~c:260728019,2006-07-29T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-29T00:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,83,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,65,FALSE,260728019,2006,2,005084,47a757,2029,4f91cd,f1f2f3,1847,,"","","",,,"",2006-07-29T00:30:00Z,2006-07-28,TRUE,TRUE,TRUE
260728017,s:40~l:59~e:260728017~c:260728017,2006-07-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-29T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,FALSE,"",98,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,96,FALSE,260728017,2006,2,3a267d,e56020,1949,000000,c7cfd4,780,,"","","",,,"",2006-07-29T00:00:00Z,2006-07-28,TRUE,TRUE,TRUE
260728018,s:40~l:59~e:260728018~c:260728018,2006-07-28T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-28T23:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,75,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,68,FALSE,260728018,2006,2,"","",,de6b36,002d62,2160,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,"",2006-07-28T23:00:00Z,2006-07-28,TRUE,TRUE,TRUE
260727004,s:40~l:59~e:260727004~c:260727004,2006-07-28T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-28T00:30Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,98,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,95,FALSE,260727004,2006,2,3a267d,e56020,1949,"","",,,"","","",,,"",2006-07-28T00:30:00Z,2006-07-27,TRUE,TRUE,TRUE
260727008,s:40~l:59~e:260727008~c:260727008,2006-07-28T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-07-28T00:00Z,"","",1,STD,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,68,FALSE,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,81,TRUE,260727008,2006,2,"","",,005084,47a757,2029,2029,Target Center,Minneapolis,MN,19006,FALSE,"",2006-07-28T00:00:00Z,2006-07-27,TRUE,TRUE,TRUE
