id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,home_logo,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
400496775,s:40~l:59~e:400496775~c:400496775,2013-09-21T23:00Z,7065,TRUE,FALSE,FALSE,FALSE,2013-09-21T23:00Z,event,EASTERN CONFERENCE SEMIFINALS - GAME 2,1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,45,FALSE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,63,TRUE,400496775,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,"",TRUE,2013-09-21T23:00:00Z,2013-09-21,TRUE,TRUE
400496783,s:40~l:59~e:400496783~c:400496783,2013-09-21T01:00Z,8832,TRUE,FALSE,FALSE,FALSE,2013-09-21T01:00Z,event,WESTERN CONFERENCE SEMIFINALS - GAME 1,1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,80,TRUE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,64,FALSE,400496783,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2013-09-21T01:00:00Z,2013-09-20,TRUE,TRUE
400496780,s:40~l:59~e:400496780~c:400496780,2013-09-20T23:00Z,5895,TRUE,FALSE,FALSE,FALSE,2013-09-20T23:00Z,event,EASTERN CONFERENCE SEMIFINALS - GAME 1,1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,72,FALSE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,85,TRUE,400496780,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2013-09-20T23:00:00Z,2013-09-20,TRUE,TRUE
400496777,s:40~l:59~e:400496777~c:400496777,2013-09-20T02:00Z,8500,TRUE,FALSE,FALSE,FALSE,2013-09-20T02:00Z,event,WESTERN CONFERENCE SEMIFINALS - GAME 1,1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,75,FALSE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,86,TRUE,400496777,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",TRUE,2013-09-20T02:00:00Z,2013-09-19,TRUE,TRUE
400496774,s:40~l:59~e:400496774~c:400496774,2013-09-20T00:00Z,3862,TRUE,FALSE,FALSE,FALSE,2013-09-20T00:00Z,event,EASTERN CONFERENCE SEMIFINALS - GAME 1,1,STD,1827,State Farm Arena,Atlanta,GA,16888,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,56,FALSE,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,71,TRUE,400496774,2013,3,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,"",TRUE,2013-09-20T00:00:00Z,2013-09-19,TRUE,TRUE
400445899,s:40~l:59~e:400445899~c:400445899,2013-09-15T20:30Z,7486,TRUE,FALSE,FALSE,FALSE,2013-09-15T20:30Z,"","",1,STD,780,AT&T Center,San Antonio,TX,18500,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,97,TRUE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,68,FALSE,400445899,2013,2,"","",TRUE,2013-09-15T20:30:00Z,2013-09-15,TRUE,TRUE
400445898,s:40~l:59~e:400445898~c:400445898,2013-09-15T20:00Z,9454,TRUE,FALSE,FALSE,FALSE,2013-09-15T20:00Z,"","",1,STD,1823,Capital One Arena,Washington,DC,20362,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,16,s:40~l:59~t:16,Washington,Mystics,WSH,Washington Mystics,Mystics,e03a3e,09295a,TRUE,1823,70,TRUE,9,s:40~l:59~t:9,New York,Liberty,NY,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,52,FALSE,400445898,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,"",TRUE,2013-09-15T20:00:00Z,2013-09-15,TRUE,TRUE
400445900,s:40~l:59~e:400445900~c:400445900,2013-09-15T19:00Z,12311,TRUE,FALSE,FALSE,FALSE,2013-09-15T19:00Z,"","",1,STD,1841,crypto.com Arena,Los Angeles,CA,19068,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,6,s:40~l:59~t:6,Los Angeles,Sparks,LA,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,89,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,55,FALSE,400445900,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,"",TRUE,2013-09-15T19:00:00Z,2013-09-15,TRUE,TRUE
400445897,s:40~l:59~e:400445897~c:400445897,2013-09-15T17:00Z,8478,TRUE,FALSE,FALSE,FALSE,2013-09-15T17:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,18,s:40~l:59~t:18,Connecticut,Sun,CONN,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,82,TRUE,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,e2382f,08265b,TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,80,FALSE,400445897,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/conn.png,OT,TRUE,2013-09-15T17:00:00Z,2013-09-15,TRUE,TRUE
400445896,s:40~l:59~e:400445896~c:400445896,2013-09-15T02:00Z,8978,TRUE,FALSE,FALSE,FALSE,2013-09-15T02:00Z,"","",1,STD,2184,KeyArena,Seattle,WA,17459,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,85,TRUE,3,s:40~l:59~t:3,Tulsa,Shock,TUL,Tulsa Shock,Shock,11213e,c5d646,FALSE,1911,"",73,FALSE,400445896,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,"",TRUE,2013-09-15T02:00:00Z,2013-09-14,TRUE,TRUE
400445895,s:40~l:59~e:400445895~c:400445895,2013-09-15T00:00Z,9613,TRUE,FALSE,FALSE,FALSE,2013-09-15T00:00Z,"","",1,STD,2029,Target Center,Minneapolis,MN,19006,FALSE,8,8,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,79,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,66,FALSE,400445895,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,"",TRUE,2013-09-15T00:00:00Z,2013-09-14,TRUE,TRUE
400445894,s:40~l:59~e:400445894~c:400445894,2013-09-14T02:00Z,8899,TRUE,FALSE,FALSE,FALSE,2013-09-14T02:00Z,"","",1,STD,1949,Footprint Center,Phoenix,AZ,17071,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHX,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,82,TRUE,17,s:40~l:59~t:17,San Antonio,Silver Stars,SA,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",61,FALSE,400445894,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,"",TRUE,2013-09-14T02:00:00Z,2013-09-13,TRUE,TRUE
400445893,s:40~l:59~e:400445893~c:400445893,2013-09-14T00:30Z,7679,TRUE,FALSE,FALSE,FALSE,2013-09-14T00:30Z,"","",1,STD,977,Allstate Arena,Glenview,IL,0,FALSE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,87,TRUE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,82,FALSE,400445893,2013,2,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,"",TRUE,2013-09-14T00:30:00Z,2013-09-13,TRUE,TRUE
