id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,PBP,game_date_time,game_date,team_box,player_box
290619018,s:40~l:59~e:290619018~c:290619018,2009-06-19T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-19T23:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,91,TRUE,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,61,FALSE,290619018,2009,2,"",TRUE,2009-06-19T23:00:00Z,2009-06-19,TRUE,TRUE
290617011,s:40~l:59~e:290617011~c:290617011,2009-06-18T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-18T02:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,104,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,80,FALSE,290617011,2009,2,"",TRUE,2009-06-18T02:00:00Z,2009-06-17,TRUE,TRUE
290616013,s:40~l:59~e:290616013~c:290616013,2009-06-17T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-17T02:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,83,FALSE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,86,TRUE,290616013,2009,2,"",TRUE,2009-06-17T02:00:00Z,2009-06-16,TRUE,TRUE
290616019,s:40~l:59~e:290616019~c:290616019,2009-06-17T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-17T00:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,78,TRUE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,75,FALSE,290616019,2009,2,"",TRUE,2009-06-17T00:00:00Z,2009-06-16,TRUE,TRUE
290614019,s:40~l:59~e:290614019~c:290614019,2009-06-14T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-14T22:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,64,TRUE,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,05452a,f7c43c,TRUE,2184,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,57,FALSE,290614019,2009,2,"",TRUE,2009-06-14T22:00:00Z,2009-06-14,TRUE,TRUE
290614018,s:40~l:59~e:290614018~c:290614018,2009-06-14T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-14T19:00Z,"","",1,STD,2160,Mohegan Sun Arena,Uncasville,CT,10000,TRUE,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,62,FALSE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,67,TRUE,290614018,2009,2,"",TRUE,2009-06-14T19:00:00Z,2009-06-14,TRUE,TRUE
290613011,s:40~l:59~e:290613011~c:290613011,2009-06-14T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-14T02:00Z,"","",1,STD,,"","","",,,0,0,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,115,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,104,FALSE,290613011,2009,2,OT,TRUE,2009-06-14T02:00:00Z,2009-06-13,TRUE,TRUE
290613017,s:40~l:59~e:290613017~c:290613017,2009-06-14T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-14T00:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,17,s:40~l:59~t:17,San Antonio,Silver Stars,SAS,San Antonio Silver Stars,Silver Stars,000000,c7cfd4,FALSE,780,"",63,TRUE,9,s:40~l:59~t:9,New York,Liberty,NYL,New York Liberty,Liberty,0d79b9,89c9bf,TRUE,1826,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,60,FALSE,290613017,2009,2,"",TRUE,2009-06-14T00:00:00Z,2009-06-13,TRUE,TRUE
290612013,s:40~l:59~e:290612013~c:290612013,2009-06-13T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-13T02:00Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,90,TRUE,11,s:40~l:59~t:11,Phoenix,Mercury,PHO,Phoenix Mercury,Mercury,3a267d,e56020,TRUE,1949,https://a.espncdn.com/i/teamlogos/wnba/500/pho.png,71,FALSE,290612013,2009,2,"",TRUE,2009-06-13T02:00:00Z,2009-06-12,TRUE,TRUE
290612019,s:40~l:59~e:290612019~c:290612019,2009-06-13T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2009-06-13T00:30Z,"","",1,STD,,"","","",,,0,0,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,19,s:40~l:59~t:19,Chicago,Sky,CHI,Chicago Sky,Sky,4f91cd,f1f2f3,TRUE,1847,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,81,TRUE,20,s:40~l:59~t:20,Atlanta,Dream,ATL,Atlanta Dream,Dream,d02030,383a37,TRUE,1827,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,73,FALSE,290612019,2009,2,"",TRUE,2009-06-13T00:30:00Z,2009-06-12,TRUE,TRUE
