id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_is_active,home_logo,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_score,away_winner,game_id,season,season_type,home_color,home_alternate_color,home_venue_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,PBP,game_date_time,game_date,team_box,player_box
230831003,s:40~l:59~e:230831003~c:230831003,2003-08-31T16:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-31T16:00Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,FALSE,"",59,FALSE,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,"","",TRUE,3417,"",66,TRUE,230831003,2003,3,11213e,c5d646,1911,,"","","",,,TRUE,2003-08-31T16:00:00Z,2003-08-31,TRUE,TRUE
230830006,s:40~l:59~e:230830006~c:230830006,2003-08-31T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-31T02:00Z,event,PLAYOFFS,1,STD,15,15.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,80,TRUE,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,005084,47a757,TRUE,2029,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,69,FALSE,230830006,2003,3,532481,49ac9c,1841,,"","","",,,TRUE,2003-08-31T02:00:00Z,2003-08-30,FALSE,FALSE
230830001,s:40~l:59~e:230830001~c:230830001,2003-08-30T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-30T19:00Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,62,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,68,TRUE,230830001,2003,3,"","",,,"","","",,,TRUE,2003-08-30T19:00:00Z,2003-08-30,TRUE,TRUE
230829013,s:40~l:59~e:230829013~c:230829013,2003-08-30T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-30T02:00Z,event,PLAYOFFS,1,STD,60,1:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,65,TRUE,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,59,FALSE,230829013,2003,3,"","",,,"","","",,,TRUE,2003-08-30T02:00:00Z,2003-08-29,FALSE,FALSE
230829002,s:40~l:59~e:230829002~c:230829002,2003-08-30T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-30T00:00Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2,s:40~l:59~t:2,Cleveland,Rockers,CLE,Cleveland Rockers,Rockers,TRUE,"",74,FALSE,3,s:40~l:59~t:3,Detroit,Shock,TUL,Detroit Shock,Shock,11213e,c5d646,FALSE,1911,"",76,TRUE,230829002,2003,3,"","",3417,,"","","",,,TRUE,2003-08-30T00:00:00Z,2003-08-29,TRUE,TRUE
230828008,s:40~l:59~e:230828008~c:230828008,2003-08-28T23:30Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-28T23:30Z,event,PLAYOFFS,1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,8,s:40~l:59~t:8,Minnesota,Lynx,MIN,Minnesota Lynx,Lynx,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,74,TRUE,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,532481,49ac9c,TRUE,1841,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,72,FALSE,230828008,2003,3,005084,47a757,2029,,"","","",,,TRUE,2003-08-28T23:30:00Z,2003-08-28,TRUE,TRUE
230828018,s:40~l:59~e:230828018~c:230828018,2003-08-28T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-28T23:00Z,event,PLAYOFFS,1,STD,52,52.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,68,TRUE,1,s:40~l:59~t:1,Charlotte,Sting,CHA,Charlotte Sting,Sting,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/cha.png,66,FALSE,230828018,2003,3,de6b36,002d62,2160,,"","","",,,TRUE,2003-08-28T23:00:00Z,2003-08-28,TRUE,TRUE
230825014,s:40~l:59~e:230825014~c:230825014,2003-08-26T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-26T02:00Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,14,s:40~l:59~t:14,Seattle,Storm,SEA,Seattle Storm,Storm,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png,70,TRUE,13,s:40~l:59~t:13,Sacramento,Monarchs,SAC,Sacramento Monarchs,Monarchs,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/sac.png,57,FALSE,230825014,2003,2,05452a,f7c43c,2184,,"","","",,,TRUE,2003-08-26T02:00:00Z,2003-08-25,TRUE,TRUE
230825006,s:40~l:59~e:230825006~c:230825006,2003-08-26T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-26T01:00Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,6,s:40~l:59~t:6,Los Angeles,Sparks,LOS,Los Angeles Sparks,Sparks,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/los.png,67,TRUE,4,s:40~l:59~t:4,Houston,Comets,HOU,Houston Comets,Comets,"","",TRUE,,https://a.espncdn.com/i/teamlogos/wnba/500/hou.png,64,FALSE,230825006,2003,2,532481,49ac9c,1841,,"","","",,,TRUE,2003-08-26T01:00:00Z,2003-08-25,FALSE,FALSE
230825005,s:40~l:59~e:230825005~c:230825005,2003-08-26T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2003-08-26T00:00Z,"","",1,STD,0,0.0,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,5,s:40~l:59~t:5,Indiana,Fever,IND,Indiana Fever,Fever,TRUE,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,62,FALSE,18,s:40~l:59~t:18,Connecticut,Sun,CT,Connecticut Sun,Sun,de6b36,002d62,TRUE,2160,https://a.espncdn.com/i/teamlogos/wnba/500/ct.png,72,TRUE,230825005,2003,2,e2382f,08265b,,,"","","",,,TRUE,2003-08-26T00:00:00Z,2003-08-25,TRUE,TRUE
