season,game_id,official_id,official_uid,official_full_name,official_display_name,official_first_name,official_last_name,official_order,position_name,position_display_name
2020,401230733,2616231,,Che Flores,Che Flores,Che,Flores,1,Referee,Referee
2020,401230733,3081694,,Isaac Barnett,Isaac Barnett,Isaac,Barnett,2,Referee,Referee
2020,401230733,4075560,,Ashley Gilpin,Ashley Gilpin,Ashley,Gilpin,3,Referee,Referee
2020,401230734,52042,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,1,Referee,Referee
2020,401230734,52043,,Jeff Wooten,Jeff Wooten,Jeff,Wooten,2,Referee,Referee
2020,401230734,52044,,Fatou Cissoko-Stephens,Fatou Cissoko-Stephens,Fatou,Cissoko-Stephens,3,Referee,Referee
2020,401230735,7671,,Michael Price,Michael Price,Michael,Price,1,Referee,Referee
2020,401230735,9951,,Amy Bonner,Amy Bonner,Amy,Bonner,2,Referee,Referee
2020,401230735,4337401,,Kevin Fahy,Kevin Fahy,Kevin,Fahy,3,Referee,Referee
2020,401230461,1178,,Maj Forsberg,Maj Forsberg,Maj,Forsberg,1,Referee,Referee
2020,401230461,3159369,,Randy Richardson,Randy Richardson,Randy,Richardson,2,Referee,Referee
2020,401230461,4237561,,Matt Kallio,Matt Kallio,Matt,Kallio,3,Referee,Referee
2020,401230462,2992939,,Eric Brewton,Eric Brewton,Eric,Brewton,1,Referee,Referee
2020,401230462,3081694,,Isaac Barnett,Isaac Barnett,Isaac,Barnett,2,Referee,Referee
2020,401230462,4237661,,Dannica Baroody,Dannica Baroody,Dannica,Baroody,3,Referee,Referee
2020,401230463,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,1,Referee,Referee
2020,401230463,1183,,Tim Greene,Tim Greene,Tim,Greene,2,Referee,Referee
2020,401230463,2615865,,Tom Mauer,Tom Mauer,Tom,Mauer,3,Referee,Referee
2020,401230464,52042,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,1,Referee,Referee
2020,401230464,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,2,Referee,Referee
2020,401230464,4237661,,Dannica Baroody,Dannica Baroody,Dannica,Baroody,3,Referee,Referee
2020,401230465,1178,,Maj Forsberg,Maj Forsberg,Maj,Forsberg,1,Referee,Referee
2020,401230465,2615865,,Tom Mauer,Tom Mauer,Tom,Mauer,2,Referee,Referee
2020,401230465,3159369,,Randy Richardson,Randy Richardson,Randy,Richardson,3,Referee,Referee
2020,401230466,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,1,Referee,Referee
2020,401230466,7671,,Michael Price,Michael Price,Michael,Price,2,Referee,Referee
2020,401230466,9951,,Amy Bonner,Amy Bonner,Amy,Bonner,3,Referee,Referee
2020,401230467,3081694,,Isaac Barnett,Isaac Barnett,Isaac,Barnett,1,Referee,Referee
2020,401230467,3159369,,Randy Richardson,Randy Richardson,Randy,Richardson,2,Referee,Referee
2020,401230467,4075560,,Ashley Gilpin,Ashley Gilpin,Ashley,Gilpin,3,Referee,Referee
2020,401230468,7671,,Michael Price,Michael Price,Michael,Price,1,Referee,Referee
2020,401230468,2992939,,Eric Brewton,Eric Brewton,Eric,Brewton,2,Referee,Referee
2020,401230468,4237561,,Matt Kallio,Matt Kallio,Matt,Kallio,3,Referee,Referee
2020,401230469,52043,,Jeff Wooten,Jeff Wooten,Jeff,Wooten,1,Referee,Referee
2020,401230469,52044,,Fatou Cissoko-Stephens,Fatou Cissoko-Stephens,Fatou,Cissoko-Stephens,2,Referee,Referee
2020,401230469,2616231,,Che Flores,Che Flores,Che,Flores,3,Referee,Referee
2020,401230470,9951,,Amy Bonner,Amy Bonner,Amy,Bonner,1,Referee,Referee
2020,401230470,1178,,Maj Forsberg,Maj Forsberg,Maj,Forsberg,2,Referee,Referee
2020,401230470,1183,,Tim Greene,Tim Greene,Tim,Greene,3,Referee,Referee
2020,401230471,52042,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,1,Referee,Referee
2020,401230471,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,2,Referee,Referee
2020,401230471,4337401,,Kevin Fahy,Kevin Fahy,Kevin,Fahy,3,Referee,Referee
2020,401230472,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,1,Referee,Referee
2020,401230472,2992939,,Eric Brewton,Eric Brewton,Eric,Brewton,2,Referee,Referee
2020,401230472,4075560,,Ashley Gilpin,Ashley Gilpin,Ashley,Gilpin,3,Referee,Referee
2020,401230753,2615865,,Tom Mauer,Tom Mauer,Tom,Mauer,1,Referee,Referee
