season,game_id,official_id,official_uid,official_full_name,official_display_name,official_first_name,official_last_name,official_order,position_name,position_display_name
2005,250521003,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2005,250521003,2615832,,Barb Smith,Barb Smith,Barb,Smith,2,Referee,Referee
2005,250521003,2615857,,Cameron Inouye,Cameron Inouye,Cameron,Inouye,3,Referee,Referee
2005,250524005,2615820,,Bob Trammell,Bob Trammell,Bob,Trammell,1,Referee,Referee
2005,250524005,2615853,,Bryan Enterline,Bryan Enterline,Bryan,Enterline,2,Referee,Referee
2005,250524005,2615423,,Laura Morris,Laura Morris,Laura,Morris,3,Referee,Referee
2005,250526001,2615792,,Michael Price,Michael Price,Michael,Price,1,Referee,Referee
2005,250526001,2615857,,Cameron Inouye,Cameron Inouye,Cameron,Inouye,2,Referee,Referee
2005,250526001,2615426,,Denise Brooks-Clauser,Denise Brooks-Clauser,Denise,Brooks-Clauser,3,Referee,Referee
2005,250527014,2615820,,Bob Trammell,Bob Trammell,Bob,Trammell,1,Referee,Referee
2005,250527014,2615832,,Barb Smith,Barb Smith,Barb,Smith,2,Referee,Referee
2005,250527014,2616803,,Scott Twardoski,Scott Twardoski,Scott,Twardoski,3,Referee,Referee
2005,250528018,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2005,250528018,2615788,,Daryl Humphrey,Daryl Humphrey,Daryl,Humphrey,2,Referee,Referee
2005,250528018,2615863,,Tina Napier,Tina Napier,Tina,Napier,3,Referee,Referee
2005,250529004,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,1,Referee,Referee
2005,250529004,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,2,Referee,Referee
2005,250529004,2615823,,Melissa Barlow,Melissa Barlow,Melissa,Barlow,3,Referee,Referee
2005,250529008,2615853,,Bryan Enterline,Bryan Enterline,Bryan,Enterline,1,Referee,Referee
2005,250529008,2615426,,Denise Brooks-Clauser,Denise Brooks-Clauser,Denise,Brooks-Clauser,2,Referee,Referee
2005,250529008,2616817,,Tony Dawkins,Tony Dawkins,Tony,Dawkins,3,Referee,Referee
2005,250529014,2615819,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,1,Referee,Referee
2005,250529014,1179,,Darla Foutz Stevens,Darla Foutz Stevens,Darla,Foutz Stevens,2,Referee,Referee
2005,250529014,2615865,,Tom Mauer,Tom Mauer,Tom,Mauer,3,Referee,Referee
2005,250601005,1179,,Darla Foutz Stevens,Darla Foutz Stevens,Darla,Foutz Stevens,1,Referee,Referee
2005,250601005,2615851,,Bonita Spence,Bonita Spence,Bonita,Spence,2,Referee,Referee
2005,250601005,2615863,,Tina Napier,Tina Napier,Tina,Napier,3,Referee,Referee
2005,250603016,2615788,,Daryl Humphrey,Daryl Humphrey,Daryl,Humphrey,1,Referee,Referee
2005,250603016,2615850,,Sue Blauch,Sue Blauch,Sue,Blauch,2,Referee,Referee
2005,250603016,1179,,Darla Foutz Stevens,Darla Foutz Stevens,Darla,Foutz Stevens,3,Referee,Referee
2005,250603003,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2005,250603003,2615851,,Bonita Spence,Bonita Spence,Bonita,Spence,2,Referee,Referee
2005,250603003,2615423,,Laura Morris,Laura Morris,Laura,Morris,3,Referee,Referee
2005,250604008,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2005,250604008,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,2,Referee,Referee
