season,game_id,official_id,official_uid,official_full_name,official_display_name,official_first_name,official_last_name,official_order,position_name,position_display_name
2011,310603006,2615857,,Cameron Inouye,Cameron Inouye,Cameron,Inouye,1,Referee,Referee
2011,310603006,1175,,Penny Davis,Penny Davis,Penny,Davis,2,Referee,Referee
2011,310603006,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,3,Referee,Referee
2011,310604014,1201,,Brenda Pantoja,Brenda Pantoja,Brenda,Pantoja,1,Referee,Referee
2011,310604014,2615856,,Clarke Stevens,Clarke Stevens,Clarke,Stevens,2,Referee,Referee
2011,310604014,2615792,,Michael Price,Michael Price,Michael,Price,3,Referee,Referee
2011,310604018,1169,,Denise Brooks,Denise Brooks,Denise,Brooks,1,Referee,Referee
2011,310604018,1183,,Tim Greene,Tim Greene,Tim,Greene,2,Referee,Referee
2011,310604018,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,3,Referee,Referee
2011,400182104,2992920,,Tom Mauer,Tom Mauer,Tom,Mauer,1,Referee,Referee
2011,400182104,2992941,,Daryl Humphrey,Daryl Humphrey,Daryl,Humphrey,2,Referee,Referee
2011,400182104,2994496,,Billy Smith,Billy Smith,Billy,Smith,3,Referee,Referee
2011,310604017,1173,,Marcus Clayton,Marcus Clayton,Marcus,Clayton,1,Referee,Referee
2011,310604017,2615819,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,2,Referee,Referee
2011,310604017,1184,,Felicia Grinter,Felicia Grinter,Felicia,Grinter,3,Referee,Referee
2011,310605020,1168,,Eric Brewton,Eric Brewton,Eric,Brewton,1,Referee,Referee
2011,310605020,1178,,Maj Forsberg,Maj Forsberg,Maj,Forsberg,2,Referee,Referee
2011,310605020,1207,,Billy Smith,Billy Smith,Billy,Smith,3,Referee,Referee
2011,310605008,2616817,,Tony Dawkins,Tony Dawkins,Tony,Dawkins,1,Referee,Referee
2011,310605008,1205,,Lamont Simpson,Lamont Simpson,Lamont,Simpson,2,Referee,Referee
2011,310605008,1188,,Byron Jarrett,Byron Jarrett,Byron,Jarrett,3,Referee,Referee
2011,310607008,1178,,Maj Forsberg,Maj Forsberg,Maj,Forsberg,1,Referee,Referee
2011,310607008,2615865,,Tom Mauer,Tom Mauer,Tom,Mauer,2,Referee,Referee
2011,310607008,2615792,,Michael Price,Michael Price,Michael,Price,3,Referee,Referee
2011,310609020,2616817,,Tony Dawkins,Tony Dawkins,Tony,Dawkins,1,Referee,Referee
2011,310609020,2615850,,Sue Blauch,Sue Blauch,Sue,Blauch,2,Referee,Referee
2011,310609020,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,3,Referee,Referee
