season,game_id,official_id,official_uid,official_full_name,official_display_name,official_first_name,official_last_name,official_order,position_name,position_display_name
2004,240521005,2615863,,Tina Napier,Tina Napier,Tina,Napier,1,Referee,Referee
2004,240521005,1168,,Eric Brewton,Eric Brewton,Eric,Brewton,2,Referee,Referee
2004,240521005,2615426,,Denise Brooks-Clauser,Denise Brooks-Clauser,Denise,Brooks-Clauser,3,Referee,Referee
2004,240522018,2615826,,Lisa Mattingly,Lisa Mattingly,Lisa,Mattingly,1,Referee,Referee
2004,240522018,2615792,,Michael Price,Michael Price,Michael,Price,2,Referee,Referee
2004,240522018,2615854,,Kim Watt,Kim Watt,Kim,Watt,3,Referee,Referee
2004,240522017,2615788,,Daryl Humphrey,Daryl Humphrey,Daryl,Humphrey,1,Referee,Referee
2004,240522017,2615832,,Barb Smith,Barb Smith,Barb,Smith,2,Referee,Referee
2004,240522017,1205,,Lamont Simpson,Lamont Simpson,Lamont,Simpson,3,Referee,Referee
2004,240522014,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2004,240522014,2615851,,Bonita Spence,Bonita Spence,Bonita,Spence,2,Referee,Referee
2004,240522014,2615853,,Bryan Enterline,Bryan Enterline,Bryan,Enterline,3,Referee,Referee
2004,240523009,2615826,,Lisa Mattingly,Lisa Mattingly,Lisa,Mattingly,1,Referee,Referee
2004,240523009,1200,,Tom Nunez,Tom Nunez,Tom,Nunez,2,Referee,Referee
2004,240523009,2615423,,Laura Morris,Laura Morris,Laura,Morris,3,Referee,Referee
2004,240523005,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,1,Referee,Referee
2004,240523005,2615792,,Michael Price,Michael Price,Michael,Price,2,Referee,Referee
2004,240523005,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,3,Referee,Referee
2004,240525018,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,1,Referee,Referee
2004,240525018,2615863,,Tina Napier,Tina Napier,Tina,Napier,2,Referee,Referee
2004,240525018,2615856,,Clarke Stevens,Clarke Stevens,Clarke,Stevens,3,Referee,Referee
2004,240526009,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2004,240526009,2615819,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,2,Referee,Referee
2004,240526009,2615856,,Clarke Stevens,Clarke Stevens,Clarke,Stevens,3,Referee,Referee
2004,240526017,2615851,,Bonita Spence,Bonita Spence,Bonita,Spence,1,Referee,Referee
2004,240526017,2615858,,Ken Drayton,Ken Drayton,Ken,Drayton,2,Referee,Referee
2004,240526017,1204,,Eli Roe,Eli Roe,Eli,Roe,3,Referee,Referee
2004,240527018,2615820,,Bob Trammell,Bob Trammell,Bob,Trammell,1,Referee,Referee
2004,240527018,2615850,,Sue Blauch,Sue Blauch,Sue,Blauch,2,Referee,Referee
2004,240527018,2615818,,Nan Sisk,Nan Sisk,Nan,Sisk,3,Referee,Referee
2004,240528001,2615819,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,1,Referee,Referee
2004,240528001,1172,,Leslie Claybrook,Leslie Claybrook,Leslie,Claybrook,2,Referee,Referee
2004,240528001,1184,,Felicia Grinter,Felicia Grinter,Felicia,Grinter,3,Referee,Referee
2004,240528008,2615853,,Bryan Enterline,Bryan Enterline,Bryan,Enterline,1,Referee,Referee
2004,240528008,1168,,Eric Brewton,Eric Brewton,Eric,Brewton,2,Referee,Referee
2004,240528008,2615426,,Denise Brooks-Clauser,Denise Brooks-Clauser,Denise,Brooks-Clauser,3,Referee,Referee
2004,240529003,2615826,,Lisa Mattingly,Lisa Mattingly,Lisa,Mattingly,1,Referee,Referee
2004,240529003,2615863,,Tina Napier,Tina Napier,Tina,Napier,2,Referee,Referee
2004,240529003,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,3,Referee,Referee
2004,240530008,2615819,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,1,Referee,Referee
2004,240530008,2615854,,Kim Watt,Kim Watt,Kim,Watt,2,Referee,Referee
2004,240530008,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,3,Referee,Referee
2004,240601001,2615826,,Lisa Mattingly,Lisa Mattingly,Lisa,Mattingly,1,Referee,Referee
2004,240601001,2615788,,Daryl Humphrey,Daryl Humphrey,Daryl,Humphrey,2,Referee,Referee
2004,240601001,2615850,,Sue Blauch,Sue Blauch,Sue,Blauch,3,Referee,Referee
2004,240601017,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2004,240601017,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,2,Referee,Referee
2004,240601017,2615857,,Cameron Inouye,Cameron Inouye,Cameron,Inouye,3,Referee,Referee
2004,240601011,2615819,,Roy Gulbeyan,Roy Gulbeyan,Roy,Gulbeyan,1,Referee,Referee
2004,240601011,1200,,Tom Nunez,Tom Nunez,Tom,Nunez,2,Referee,Referee
2004,240601011,1204,,Eli Roe,Eli Roe,Eli,Roe,3,Referee,Referee
2004,240602003,2615832,,Barb Smith,Barb Smith,Barb,Smith,1,Referee,Referee
2004,240602003,1205,,Lamont Simpson,Lamont Simpson,Lamont,Simpson,2,Referee,Referee
2004,240602003,2615865,,Tom Mauer,Tom Mauer,Tom,Mauer,3,Referee,Referee
2004,240603018,1205,,Lamont Simpson,Lamont Simpson,Lamont,Simpson,1,Referee,Referee
2004,240603018,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,2,Referee,Referee
2004,240603018,2615426,,Denise Brooks-Clauser,Denise Brooks-Clauser,Denise,Brooks-Clauser,3,Referee,Referee
2004,240604016,2615788,,Daryl Humphrey,Daryl Humphrey,Daryl,Humphrey,1,Referee,Referee
2004,240604016,2615792,,Michael Price,Michael Price,Michael,Price,2,Referee,Referee
2004,240604016,2615858,,Ken Drayton,Ken Drayton,Ken,Drayton,3,Referee,Referee
2004,240605005,2615792,,Michael Price,Michael Price,Michael,Price,1,Referee,Referee
2004,240605005,1204,,Eli Roe,Eli Roe,Eli,Roe,2,Referee,Referee
2004,240605005,1184,,Felicia Grinter,Felicia Grinter,Felicia,Grinter,3,Referee,Referee
2004,240609011,1179,,Darla Foutz Stevens,Darla Foutz Stevens,Darla,Foutz Stevens,1,Referee,Referee
2004,240609011,1205,,Lamont Simpson,Lamont Simpson,Lamont,Simpson,2,Referee,Referee
2004,240609011,1213,,Kurt Walker,Kurt Walker,Kurt,Walker,3,Referee,Referee
2004,240609005,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2004,240609005,2615862,,John Fullilove,John Fullilove,John,Fullilove,2,Referee,Referee
2004,240609005,2615863,,Tina Napier,Tina Napier,Tina,Napier,3,Referee,Referee
2004,240611016,2615820,,Bob Trammell,Bob Trammell,Bob,Trammell,1,Referee,Referee
2004,240611016,2615851,,Bonita Spence,Bonita Spence,Bonita,Spence,2,Referee,Referee
2004,240611016,2615423,,Laura Morris,Laura Morris,Laura,Morris,3,Referee,Referee
2004,240611014,2615826,,Lisa Mattingly,Lisa Mattingly,Lisa,Mattingly,1,Referee,Referee
2004,240611014,1189,,Lisa Jones,Lisa Jones,Lisa,Jones,2,Referee,Referee
2004,240611014,2615818,,Nan Sisk,Nan Sisk,Nan,Sisk,3,Referee,Referee
2004,240612003,2615865,,Tom Mauer,Tom Mauer,Tom,Mauer,1,Referee,Referee
2004,240612003,1206,,Jeff Smith,Jeff Smith,Jeff,Smith,2,Referee,Referee
2004,240612003,1204,,Eli Roe,Eli Roe,Eli,Roe,3,Referee,Referee
2004,240612013,2615830,,June Courteau,June Courteau,June,Courteau,1,Referee,Referee
2004,240612013,2615832,,Barb Smith,Barb Smith,Barb,Smith,2,Referee,Referee
