season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,avgPointsAgainst,Opponent Points Per Game,OPP PPG,Opponent Points Per Game,OPP PPG,avgpointsagainst,70.4,70.44118
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,avgPointsFor,Points Per Game,PPG,Points Per Game,PPG,avgpointsfor,75.1,75.088234
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,differential,Average Point Differential,DIFF,Average Point Differential,DIFF,differential,+4.7,4.69999999999999
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,divisionWinPercent,Division Win Percentage,DPCT,Division Winning Percentage,DPCT,divisionwinpercent,0.000,0.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,gamesBehind,Games Back,GB,Games Back,GB,gamesbehind,-,0.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,leagueWinPercent,League Win Percentage,LPCT,League Winning Percentage,LPCT,leaguewinpercent,0.750,0.75
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,losses,Losses,L,Losses,L,losses,9,9.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,playoffSeed,Position,POS,Playoff Seed,SEED,playoffseed,1,1.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,pointDifferential,Point Differential,DIFF,Point Differential,DIFF,pointdifferential,+158,158.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,points,Points,PTS,Total Points,PTS,points,8.0,8.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,pointsAgainst,Points Against,PA,Total Points Against,PA,pointsagainst,2395,2395.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,pointsFor,Points For,PF,Total Points For,PF,pointsfor,2553,2553.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,streak,Streak,STRK,Current Streak,STRK,streak,W4,4.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,winPercent,Win Percentage,PCT,Winning Percentage,PCT,winpercent,.735,0.7352941
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,wins,Wins,W,Wins,W,wins,25,25.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,gamesAhead,Games Ahead,GA,Games Ahead,GA,gamesahead,-,0.0
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,overall,Overall,OVER,Overall Record,Total,total,25-9,
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,Home,Home,HOME,Home Record,,home,13-4,
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,Road,Road,AWAY,Away Record,,road,12-5,
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,vs. Div.,DIV,DIV,Division Record,,vsdiv,0-0,
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,vs. Conf.,CONF,CONF,Conference Record,,vsconf,18-6,
2003,1,Eastern Conference,E,,3,s:40~l:59~t:3,,Detroit,Shock,TUL,Detroit Shock,Shock,,,https://a.espncdn.com/guid/34946ff8-281e-c57d-bb76-37fb1ebe3ec6/logos/default.png,Last Ten Games,Last Ten Games,L10,Record last 10 games,Last Ten,lasttengames,7-3,
