season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,avgPointsAgainst,Opponent Points Per Game,OPP PPG,Opponent Points Per Game,OPP PPG,avgpointsagainst,84.1,84.09091
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,avgPointsFor,Points Per Game,PPG,Points Per Game,PPG,avgpointsfor,86.7,86.72727
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,clincher,Clincher,CLINCH,Clinched Playoff Berth,CLINCH,clincher,x,1.0
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,differential,Average Point Differential,DIFF,Average Point Differential,DIFF,differential,+2.6,2.60000000000001
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,divisionWinPercent,Division Win Percentage,DPCT,Division Winning Percentage,DPCT,divisionwinpercent,0.000,0.0
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,gamesBehind,Games Back,GB,Games Back,GB,gamesbehind,-,0.0
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,leagueWinPercent,League Win Percentage,LPCT,League Winning Percentage,LPCT,leaguewinpercent,0.600,0.6
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,losses,Losses,L,Losses,L,losses,10,10.0
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,playoffSeed,Position,POS,Playoff Seed,SEED,playoffseed,1,1.0
2020,1,Eastern Conference,E,,19,s:40~l:59~t:19,,Chicago,Sky,CHI,Chicago Sky,Sky,,,https://a.espncdn.com/i/teamlogos/wnba/500/chi.png,pointDifferential,Point Differential,DIFF,Point Differential,DIFF,pointdifferential,+58,58.0
