season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2007,1,,,,,,2793,Sacramento Monarchs,averages,GP,gamesPlayed,Games Played,Games Played,252,252.0
2007,1,,,,,,2793,Sacramento Monarchs,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,95,95.0
2007,1,,,,,,2793,Sacramento Monarchs,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,18.7,18.7
2007,1,,,,,,2793,Sacramento Monarchs,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,7.7,7.7
2007,1,,,,,,2793,Sacramento Monarchs,averages,OR,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,2.1,2.1
2007,1,,,,,,2793,Sacramento Monarchs,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,2.7,2.7
2007,1,,,,,,2793,Sacramento Monarchs,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,4.8,4.8
2007,1,,,,,,2793,Sacramento Monarchs,averages,AST,avgAssists,Assists Per Game,The average assists per game.,0.8,0.8
2007,1,,,,,,2793,Sacramento Monarchs,averages,STL,avgSteals,Steals Per Game,The average steals per game.,1.0,1.0
2007,1,,,,,,2793,Sacramento Monarchs,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.2,0.2
2007,1,,,,,,2793,Sacramento Monarchs,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,1.5,1.5
2007,1,,,,,,2793,Sacramento Monarchs,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,3.3-6.3,
2007,1,,,,,,2793,Sacramento Monarchs,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,51.5,51.5
2007,1,,,,,,2793,Sacramento Monarchs,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,0.0-0.1,
2007,1,,,,,,2793,Sacramento Monarchs,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,23.3,23.3
2007,1,,,,,,2793,Sacramento Monarchs,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,1.1-1.8,
2007,1,,,,,,2793,Sacramento Monarchs,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,63.5,63.5
2007,1,,,,,,2793,Sacramento Monarchs,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,2.9,2.9
2007,1,,,,,,2793,Sacramento Monarchs,totals,PTS,points,Points,The number of points scored.,1935,1935.0
